arzt_id;stadt;fachrichtung;fachgruppe;bundesland;flaeche_km2;einwohner;anzahl_bewertungen;durchschnittsbewertung
10136336;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;43;2.35
10275796;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;59;2.81
10338519;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;36;2.45
10389711;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;48;2.9
10415145;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;7;2.25
11104207;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;25;2.23
11104209;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;54;2.78
11177426;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;8;1.46
11187216;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;100;2.82
11371013;Aachen;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;35;2.81
11015747;Aachen;Kinder- & Jugendpsychiater;Internistische & konservative Fachärzte;Nordrhein-Westfalen;160.85;262670.0;1;1.5
10074922;Aachen;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;160.85;262670.0;11;2.76
10074923;Aachen;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;160.85;262670.0;1;1.56
10074924;Aachen;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;160.85;262670.0;3;1.04
10076300;Aachen;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;160.85;262670.0;11;1.58
10076301;Aachen;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;160.85;262670.0;7;1.45
10076302;Aachen;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;160.85;262670.0;14;2.52
10385374;Aachen;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;160.85;262670.0;16;1.88
11015578;Aachen;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;160.85;262670.0;5;1.12
11579523;Aachen;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;160.85;262670.0;1;1.0
11135460;Aachen;Kinderzahnheilkunde;Zahnmedizin – Spezialisierungen;Nordrhein-Westfalen;160.85;262670.0;100;1.17
10079008;Aachen;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;100;1.61
10079009;Aachen;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;37;1.45
10097786;Aachen;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;39;2.07
10098154;Aachen;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;67;1.44
10337499;Aachen;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;54;3.02
10350866;Aachen;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;73;1.92
10413719;Aachen;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;100;1.88
11053996;Aachen;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;49;1.94
11178615;Aachen;Orthopäde;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;32;1.85
11017766;Aachen;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;68;1.86
11089493;Aachen;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;7;1.24
11117201;Aachen;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;71;2.36
